ID,MONTHS_BALANCE,STATUS
5008823,-9,X
5008823,-10,C
5008823,-11,X
5008823,-12,C
5008823,-13,X
5008823,-14,X
5008823,-15,C
5008823,-16,0
5008823,-17,C
5008823,-18,C
5008823,-19,C
5008823,-20,1
5008824,0,0
5008824,-1,C
5008824,-2,1
5008824,-3,4
5008824,-4,C
5008824,-5,0
5008824,-6,C
5008824,-7,C
5008824,-8,0
5008824,-9,C
5008824,-10,C
5008824,-11,X
5008825,0,C
5008825,-1,C
5008825,-2,X
5008825,-3,C
5008825,-4,C
5008825,-5,X
5008825,-6,1
5008826,0,X
5008826,-1,C
5008826,-2,C
5008826,-3,X
5008826,-4,C
5008826,-5,C
5008826,-6,X
5008826,-7,X
5008826,-8,X
5008826,-9,C
5008827,0,C
5008827,-1,C
5008827,-2,X
5008827,-3,X
5008827,-4,X
5008827,-5,C
5008827,-6,X
5008827,-7,X
5008827,-8,C
5008827,-9,X
5008827,-10,X
5008827,-11,C
5008827,-12,0
5008827,-13,C
5008827,-14,C
5008827,-15,C
5008827,-16,X
5008827,-17,C
5008827,-18,C
5008827,-19,C
5008828,0,C
5008828,-1,X
5008828,-2,C
5008828,-3,C
5008828,-4,1
5008828,-5,C
5008828,-6,C
5008828,-7,C
5008828,-8,C
5008828,-9,C
5008828,-10,1
5008829,0,C
5008829,-1,C
5008829,-2,X
5008829,-3,X
5008829,-4,C
5008829,-5,C
5008829,-6,C
5008829,-7,X
5008829,-8,0
5008829,-9,X
5008829,-10,X
5008829,-11,X
5008829,-12,C
5008829,-13,C
5008829,-14,X
5008829,-15,X
5008829,-16,0
5008829,-17,1
5008829,-18,C
5008829,-19,X
5008829,-20,X
5008829,-21,C
5008829,-22,1
5008830,0,C
5008830,-1,X
5008830,-2,C
5008830,-3,C
5008830,-4,1
5008830,-5,C
5008830,-6,X
5008830,-7,0
5008830,-8,1
5008830,-9,X
5008830,-10,C
5008830,-11,X
5008830,-12,C
5008830,-13,0
5008830,-14,C
5008830,-15,X
5008830,-16,C
5008830,-17,X
5008830,-18,2
5008830,-19,C
5008831,0,C
5008831,-1,C
5008831,-2,C
5008831,-3,X
5008831,-4,C
5008831,-5,C
5008831,-6,3
5008832,0,0
5008832,-1,C
5008832,-2,X
5008832,-3,C
5008832,-4,C
5008832,-5,C
5008833,0,C
5008833,-1,X
5008833,-2,C
5008833,-3,C
5008833,-4,X
5008833,-5,C
5008833,-6,C
5008834,0,C
5008834,-1,C
5008834,-2,1
5008834,-3,C
5008834,-4,C
5008834,-5,C
5008834,-6,X
5008835,0,C
5008835,-1,1
5008835,-2,C
5008835,-3,C
5008835,-4,X
5008835,-5,X
5008835,-6,C
5008835,-7,X
5008835,-8,C
5008836,0,X
5008836,-1,X
5008836,-2,1
5008836,-3,C
5008836,-4,X
5008836,-5,X
5008836,-6,C
5008836,-7,0
5008836,-8,X
5008836,-9,X
5008836,-10,C
5008836,-11,C
5008836,-12,C
5008836,-13,1
5008836,-14,C
5008836,-15,C
5008836,-16,X
5008836,-17,X
5008836,-18,0
5008836,-19,C
5008836,-20,C
5008836,-21,C
5008836,-22,X
5008837,0,C
5008837,-1,C
5008837,-2,C
5008837,-3,1
5008837,-4,C
5008837,-5,C
5008837,-6,C
5008837,-7,X
5008837,-8,C
5008838,0,1
5008838,-1,C
5008838,-2,C
5008838,-3,C
5008838,-4,C
5008838,-5,C
5008838,-6,C
5008838,-7,0
5008838,-8,X
5008838,-9,1
5008838,-10,X
5008839,0,X
5008839,-1,C
5008839,-2,0
5008839,-3,X
5008839,-4,X
5008839,-5,C
5008839,-6,C
5008839,-7,C
5008839,-8,C
5008839,-9,C
5008840,0,X
5008840,-1,C
5008840,-2,X
5008840,-3,C
5008840,-4,C
5008840,-5,0
5008841,0,C
5008841,-1,X
5008841,-2,C
5008841,-3,C
5008841,-4,1
5008841,-5,C
5008841,-6,C
5008841,-7,C
5008841,-8,C
5008841,-9,C
5008841,-10,X
5008841,-11,X
5008841,-12,C
5008841,-13,C
5008841,-14,C
5008841,-15,C
5008841,-16,C
5008841,-17,C
5008841,-18,C
5008841,-19,C
5008841,-20,C
5008841,-21,X
5008841,-22,C
5008841,-23,X
5008842,0,X
5008842,-1,1
5008842,-2,C
5008842,-3,1
5008842,-4,X
5008842,-5,C
5008842,-6,C
5008842,-7,1
5008842,-8,1
5008842,-9,C
5008842,-10,C
5008842,-11,C
5008842,-12,C
5008842,-13,C
5008842,-14,X
5008842,-15,C
5008842,-16,C
5008842,-17,0
5008842,-18,C
5008842,-19,C
5008842,-20,X
5008842,-21,C
5008842,-22,1
5008842,-23,1
5008843,0,C
5008843,-1,0
5008843,-2,C
5008843,-3,C
5008843,-4,C
5008843,-5,1
5008843,-6,C
5008843,-7,X
5008843,-8,C
5008843,-9,C
5008843,-10,C
5008843,-11,C
5008843,-12,C
5008843,-13,0
5008843,-14,X
5008843,-15,X
5008843,-16,C
5008844,0,C
5008844,-1,X
5008844,-2,C
5008844,-3,C
5008844,-4,X
5008844,-5,C
5008844,-6,C
5008844,-7,X
5008844,-8,C
5008844,-9,1
5008845,0,X
5008845,-1,C
5008845,-2,C
5008845,-3,C
5008845,-4,C
5008845,-5,X
5008845,-6,1
5008845,-7,C
5008845,-8,C
5008845,-9,X
5008845,-10,X
5008845,-11,X
5008845,-12,X
5008845,-13,X
5008845,-14,X
5008845,-15,1
5008845,-16,1
5008845,-17,1
5008845,-18,X
5008845,-19,X
5008845,-20,1
5008845,-21,C
5008846,0,C
5008846,-1,C
5008846,-2,X
5008846,-3,1
5008846,-4,C
5008846,-5,0
5008846,-6,C
5008846,-7,C
5008846,-8,C
5008846,-9,X
5008846,-10,C
5008846,-11,0
5008846,-12,C
5008846,-13,C
5008846,-14,1
5008846,-15,C
5008846,-16,C
5008846,-17,C
5008847,0,C
5008847,-1,X
5008847,-2,0
5008847,-3,C
5008847,-4,1
5008847,-5,C
5008848,0,X
5008848,-1,C
5008848,-2,C
5008848,-3,C
5008848,-4,C
5008848,-5,X
5008849,0,X
5008849,-1,C
5008849,-2,C
5008849,-3,C
5008849,-4,C
5008849,-5,C
5008850,0,X
5008850,-1,C
5008850,-2,X
5008850,-3,C
5008850,-4,3
5008850,-5,C
5008850,-6,C
5008850,-7,4
5008850,-8,C
5008850,-9,0
5008850,-10,X
5008850,-11,0
5008850,-12,C
5008851,0,X
5008851,-1,X
5008851,-2,C
5008851,-3,C
5008851,-4,C
5008851,-5,C
5008851,-6,C
5008851,-7,C
5008851,-8,X
5008851,-9,C
5008851,-10,0
5008851,-11,C
5008851,-12,C
5008851,-13,C
5008851,-14,C
5008851,-15,X
5008851,-16,C
5008851,-17,X
5008851,-18,C
5008851,-19,C
5008852,0,X
5008852,-1,C
5008852,-2,C
5008852,-3,0
5008852,-4,X
5008852,-5,C
5008852,-6,C
5008852,-7,1
5008853,0,C
5008853,-1,C
5008853,-2,X
5008853,-3,C
5008853,-4,X
5008853,-5,X
5008853,-6,X
5008853,-7,C
5008853,-8,X
5008853,-9,C
5008853,-10,C
5008853,-11,C
5008854,0,C
5008854,-1,C
5008854,-2,X
5008854,-3,C
5008854,-4,C
5008854,-5,X
5008854,-6,C
5008854,-7,C
5008854,-8,C
5008854,-9,X
5008854,-10,C
5008854,-11,1
5008854,-12,C
5008854,-13,C
5008854,-14,1
5008854,-15,0
5008854,-16,X
5008854,-17,C
5008854,-18,X
5008854,-19,X
5008854,-20,C
5008855,0,C
5008855,-1,C
5008855,-2,X
5008855,-3,X
5008855,-4,C
5008855,-5,X
5008855,-6,C
5008855,-7,C
5008855,-8,C
5008855,-9,X
5008855,-10,0
5008855,-11,C
5008855,-12,C
5008855,-13,C
5008855,-14,X
5008855,-15,C
5008855,-16,0
5008856,0,C
5008856,-1,C
5008856,-2,C
5008856,-3,1
5008856,-4,C
5008856,-5,C
5008856,-6,1
5008856,-7,0
5008856,-8,1
5008856,-9,C
5008856,-10,C
5008856,-11,C
5008856,-12,X
5008856,-13,C
5008856,-14,C
5008856,-15,C
5008856,-16,C
5008856,-17,C
5008856,-18,X
5008856,-19,C
5008856,-20,0
5008857,0,0
5008857,-1,X
5008857,-2,C
5008857,-3,C
5008857,-4,C
5008857,-5,C
5008857,-6,1
5008857,-7,C
5008857,-8,C
5008857,-9,X
5008857,-10,X
5008857,-11,C
5008857,-12,C
5008857,-13,C
5008858,0,C
5008858,-1,C
5008858,-2,X
5008858,-3,C
5008858,-4,C
5008858,-5,1
5008858,-6,X
5008858,-7,C
5008858,-8,X
5008858,-9,C
5008858,-10,X
5008858,-11,0
5008858,-12,X
5008858,-13,X
5008858,-14,C
5008858,-15,X
5008858,-16,C
5008858,-17,C
5008858,-18,C
5008858,-19,X
5008858,-20,X
5008858,-21,X
5008858,-22,X
5008859,0,C
5008859,-1,X
5008859,-2,C
5008859,-3,C
5008859,-4,0
5008859,-5,C
5008859,-6,0
5008859,-7,C
5008859,-8,C
5008859,-9,C
5008859,-10,X
5008859,-11,C
5008859,-12,X
5008859,-13,C
5008859,-14,C
5008859,-15,C
5008860,0,X
5008860,-1,1
5008860,-2,C
5008860,-3,C
5008860,-4,C
5008860,-5,C
5008860,-6,C
5008860,-7,X
5008860,-8,C
5008860,-9,X
5008860,-10,C
5008860,-11,X
5008860,-12,X
5008860,-13,C
5008860,-14,0
5008860,-15,C
5008860,-16,C
5008860,-17,C
5008860,-18,X
5008860,-19,X
5008860,-20,X
5008861,0,X
5008861,-1,C
5008861,-2,X
5008861,-3,C
5008861,-4,C
5008861,-5,C
5008861,-6,0
5008861,-7,X
5008861,-8,C
5008861,-9,C
5008861,-10,C
5008861,-11,C
5008861,-12,X
5008861,-13,C
5008862,0,C
5008862,-1,C
5008862,-2,X
5008862,-3,X
5008862,-4,C
5008862,-5,C
5008862,-6,X
5008862,-7,0
5008862,-8,1
5008862,-9,C
5008863,0,X
5008863,-1,C
5008863,-2,C
5008863,-3,C
5008863,-4,C
5008863,-5,C
5008863,-6,C
5008863,-7,C
5008863,-8,C
5008863,-9,C
5008863,-10,1
5008863,-11,C
5008864,0,X
5008864,-1,C
5008864,-2,C
5008864,-3,0
5008864,-4,C
5008864,-5,C
5008864,-6,1
5008864,-7,X
5008864,-8,X
5008864,-9,C
5008864,-10,X
5008864,-11,C
5008864,-12,C
5008864,-13,1
5008864,-14,0
5008864,-15,C
5008864,-16,C
5008864,-17,C
5008864,-18,X
5008864,-19,C
5008864,-20,C
5008864,-21,C
5008864,-22,0
5008865,0,1
5008865,-1,C
5008865,-2,X
5008865,-3,X
5008865,-4,X
5008865,-5,X
5008865,-6,C
5008865,-7,X
5008865,-8,X
5008865,-9,1
5008865,-10,C
5008865,-11,1
5008865,-12,C
5008865,-13,X
5008865,-14,C
5008865,-15,X
5008865,-16,C
5008865,-17,C
5008865,-18,C
5008865,-19,X
5008865,-20,C
5008865,-21,X
5008865,-22,C
5008866,0,X
5008866,-1,C
5008866,-2,X
5008866,-3,C
5008866,-4,C
5008866,-5,C
5008866,-6,C
5008866,-7,X
5008866,-8,X
5008867,0,C
5008867,-1,C
5008867,-2,C
5008867,-3,C
5008867,-4,C
5008867,-5,C
5008867,-6,1
5008867,-7,C
5008867,-8,C
5008867,-9,C
5008867,-10,C
5008867,-11,C
5008867,-12,X
5008867,-13,C
5008867,-14,C
5008867,-15,C
5008867,-16,C
5008867,-17,C
5008867,-18,C
5008867,-19,X
5008867,-20,X
5008868,0,X
5008868,-1,X
5008868,-2,C
5008868,-3,C
5008868,-4,C
5008868,-5,C
5008869,0,C
5008869,-1,X
5008869,-2,C
5008869,-3,C
5008869,-4,C
5008869,-5,1
5008869,-6,C
5008869,-7,C
5008869,-8,C
5008869,-9,1
5008869,-10,C
5008869,-11,1
5008869,-12,X
5008870,0,X
5008870,-1,X
5008870,-2,1
5008870,-3,C
5008870,-4,C
5008870,-5,C
5008870,-6,C
5008870,-7,C
5008870,-8,X
5008870,-9,4
5008870,-10,C
5008871,0,X
5008871,-1,1
5008871,-2,X
5008871,-3,X
5008871,-4,C
5008871,-5,0
5008871,-6,C
5008871,-7,X
5008871,-8,C
5008871,-9,X
5008871,-10,C
5008872,0,C
5008872,-1,C
5008872,-2,C
5008872,-3,C
5008872,-4,C
5008872,-5,C
5008872,-6,3
5008872,-7,C
5008872,-8,C
5008872,-9,X
5008872,-10,C
5008873,0,X
5008873,-1,1
5008873,-2,C
5008873,-3,C
5008873,-4,C
5008873,-5,C
5008873,-6,C
5008873,-7,X
5008873,-8,C
5008874,0,C
5008874,-1,C
5008874,-2,X
5008874,-3,1
5008874,-4,C
5008874,-5,C
5008874,-6,X
5008874,-7,X
5008874,-8,0
5008874,-9,X
5008874,-10,1
5008874,-11,1
5008874,-12,C
5008874,-13,0
5008874,-14,C
5008874,-15,X
5008874,-16,1
5008874,-17,X
5008875,0,C
5008875,-1,C
5008875,-2,X
5008875,-3,X
5008875,-4,C
5008875,-5,C
5008875,-6,X
5008875,-7,C
5008875,-8,0
5008875,-9,C
5008875,-10,C
5008875,-11,C
5008875,-12,C
5008876,0,C
5008876,-1,X
5008876,-2,C
5008876,-3,1
5008876,-4,X
5008876,-5,X
5008876,-6,C
5008876,-7,C
5008876,-8,C
5008876,-9,C
5008876,-10,C
5008876,-11,C
5008876,-12,C
5008876,-13,C
5008876,-14,C
5008876,-15,C
5008876,-16,C
5008876,-17,C
5008877,0,C
5008877,-1,C
5008877,-2,C
5008877,-3,X
5008877,-4,C
5008877,-5,X
5008877,-6,1
5008877,-7,1
5008877,-8,C
5008877,-9,X
5008877,-10,C
5008877,-11,C
5008877,-12,C
5008877,-13,X
5008877,-14,X
5008877,-15,0
5008877,-16,0
5008877,-17,0
5008877,-18,C
5008877,-19,X
5008878,0,C
5008878,-1,1
5008878,-2,C
5008878,-3,C
5008878,-4,C
5008878,-5,2
5008878,-6,C
5008878,-7,3
5008878,-8,X
5008878,-9,C
5008878,-10,X
5008878,-11,C
5008878,-12,X
5008878,-13,X
5008878,-14,C
5008878,-15,C
5008878,-16,C
5008879,0,C
5008879,-1,C
5008879,-2,X
5008879,-3,C
5008879,-4,C
5008879,-5,C
5008879,-6,0
5008879,-7,C
5008879,-8,C
5008879,-9,C
5008879,-10,X
5008879,-11,C
5008879,-12,C
5008879,-13,X
5008879,-14,C
5008879,-15,C
5008879,-16,X
5008879,-17,C
5008879,-18,0
5008879,-19,C
5008879,-20,X
5008880,0,C
5008880,-1,X
5008880,-2,C
5008880,-3,0
5008880,-4,X
5008880,-5,C
5008880,-6,C
5008881,0,X
5008881,-1,0
5008881,-2,X
5008881,-3,C
5008881,-4,C
5008881,-5,1
5008881,-6,X
5008881,-7,1
5008881,-8,C
5008881,-9,C
5008881,-10,C
5008881,-11,X
5008881,-12,X
5008881,-13,C
5008881,-14,C
5008881,-15,C
5008881,-16,C
5008881,-17,C
5008881,-18,X
5008881,-19,C
5008882,0,X
5008882,-1,X
5008882,-2,C
5008882,-3,C
5008882,-4,X
5008882,-5,0
5008882,-6,1
5008882,-7,X
5008882,-8,C
5008882,-9,2
5008882,-10,1
5008882,-11,1
5008882,-12,C
5008882,-13,C
5008882,-14,C
5008882,-15,3
5008882,-16,1
5008882,-17,X
5008883,0,C
5008883,-1,C
5008883,-2,X
5008883,-3,C
5008883,-4,C
5008883,-5,X
5008883,-6,C
5008883,-7,C
5008883,-8,X
5008883,-9,C
5008883,-10,0
5008884,0,X
5008884,-1,C
5008884,-2,C
5008884,-3,X
5008884,-4,3
5008884,-5,C
5008884,-6,C
5008884,-7,C
5008884,-8,C
5008884,-9,C
5008884,-10,X
5008884,-11,C
5008884,-12,C
5008884,-13,C
5008884,-14,C
5008884,-15,1
5008884,-16,3
5008884,-17,X
5008885,0,X
5008885,-1,1
5008885,-2,C
5008885,-3,C
5008885,-4,X
5008885,-5,C
5008885,-6,C
5008885,-7,C
5008885,-8,C
5008885,-9,X
5008885,-10,X
5008885,-11,X
5008885,-12,C
5008885,-13,C
5008885,-14,C
5008885,-15,C
5008885,-16,C
5008886,0,C
5008886,-1,X
5008886,-2,1
5008886,-3,0
5008886,-4,C
5008886,-5,X
5008886,-6,X
5008886,-7,C
5008886,-8,C
5008886,-9,C
5008886,-10,C
5008886,-11,C
5008886,-12,C
5008886,-13,X
5008887,0,X
5008887,-1,C
5008887,-2,C
5008887,-3,C
5008887,-4,X
5008887,-5,X
5008887,-6,C
5008887,-7,C
5008887,-8,C
5008887,-9,X
5008887,-10,C
5008887,-11,C
5008887,-12,X
5008887,-13,1
5008887,-14,C
5008887,-15,1
5008887,-16,C
5008888,0,C
5008888,-1,C
5008888,-2,X
5008888,-3,C
5008888,-4,3
5008888,-5,X
5008888,-6,C
5008888,-7,X
5008888,-8,C
5008888,-9,C
5008888,-10,5
5008888,-11,1
5008888,-12,C
5008888,-13,X
5008888,-14,X
5008888,-15,C
5008888,-16,C
5008888,-17,X
5008888,-18,C
5008889,0,C
5008889,-1,C
5008889,-2,X
5008889,-3,C
5008889,-4,X
5008889,-5,1
5008889,-6,C
5008889,-7,C
5008889,-8,X
5008889,-9,X
5008889,-10,X
5008889,-11,C
5008889,-12,X
5008889,-13,X
5008889,-14,C
5008889,-15,C
5008889,-16,C
5008889,-17,C
5008889,-18,C
5008890,0,X
5008890,-1,C
5008890,-2,X
5008890,-3,C
5008890,-4,X
5008890,-5,C
5008890,-6,C
5008890,-7,C
5008890,-8,C
5008890,-9,X
5008890,-10,X
5008890,-11,X
5008890,-12,X
5008890,-13,C
5008890,-14,X
5008890,-15,C
5008890,-16,C
5008891,0,C
5008891,-1,X
5008891,-2,X
5008891,-3,0
5008891,-4,C
5008891,-5,C
5008891,-6,C
5008891,-7,C
5008891,-8,X
5008891,-9,X
5008891,-10,X
5008892,0,C
5008892,-1,X
5008892,-2,C
5008892,-3,X
5008892,-4,C
5008892,-5,C
5008892,-6,X
5008892,-7,C
5008892,-8,C
5008893,0,0
5008893,-1,C
5008893,-2,0
5008893,-3,C
5008893,-4,C
5008893,-5,X
5008893,-6,X
5008893,-7,C
5008893,-8,X
5008893,-9,X
5008893,-10,X
5008893,-11,0
5008893,-12,C
5008894,0,C
5008894,-1,X
5008894,-2,C
5008894,-3,C
5008894,-4,C
5008894,-5,X
5008894,-6,X
5008894,-7,X
5008894,-8,X
5008894,-9,C
5008894,-10,1
5008894,-11,1
5008894,-12,X
5008894,-13,C
5008894,-14,X
5008894,-15,C
5008894,-16,C
5008894,-17,C
5008895,0,C
5008895,-1,X
5008895,-2,C
5008895,-3,C
5008895,-4,C
5008895,-5,X
5008896,0,C
5008896,-1,X
5008896,-2,C
5008896,-3,X
5008896,-4,C
5008896,-5,C
5008896,-6,1
5008896,-7,C
5008896,-8,X
5008896,-9,X
5008896,-10,X
5008896,-11,C
5008897,0,1
5008897,-1,X
5008897,-2,C
5008897,-3,C
5008897,-4,C
5008897,-5,C
5008897,-6,C
5008897,-7,0
5008898,0,X
5008898,-1,1
5008898,-2,C
5008898,-3,C
5008898,-4,C
5008898,-5,C
5008898,-6,X
5008898,-7,X
5008898,-8,C
5008898,-9,C
5008899,0,C
5008899,-1,C
5008899,-2,1
5008899,-3,C
5008899,-4,C
5008899,-5,0
5008899,-6,C
5008899,-7,X
5008899,-8,1
5008899,-9,C
5008899,-10,X
5008899,-11,X
5008899,-12,X
5008899,-13,X
5008900,0,X
5008900,-1,0
5008900,-2,C
5008900,-3,C
5008900,-4,X
5008900,-5,C
5008900,-6,X
5008900,-7,X
5008900,-8,0
5008900,-9,X
5008900,-10,X
5008900,-11,1
5008900,-12,C
5008900,-13,C
5008900,-14,C
5008900,-15,X
5008900,-16,C
5008901,0,C
5008901,-1,X
5008901,-2,C
5008901,-3,C
5008901,-4,C
5008901,-5,1
5008901,-6,C
5008901,-7,C
5008901,-8,C
5008901,-9,X
5008901,-10,2
5008901,-11,C
5008901,-12,X
5008901,-13,C
5008901,-14,3
5008901,-15,C
5008901,-16,C
5008901,-17,X
5008902,0,X
5008902,-1,1
5008902,-2,C
5008902,-3,C
5008902,-4,C
5008902,-5,X
5008902,-6,C
5008902,-7,C
5008902,-8,C
5008902,-9,C
5008902,-10,0
5008902,-11,C
5008903,0,1
5008903,-1,C
5008903,-2,X
5008903,-3,C
5008903,-4,C
5008903,-5,X
5008903,-6,X
5008903,-7,X
5008903,-8,C
5008903,-9,1
5008903,-10,C
5008903,-11,X
5008903,-12,C
5008903,-13,C
5008903,-14,0
5008903,-15,C
5008903,-16,C
5008903,-17,1
5008903,-18,X
5008903,-19,C
5008903,-20,X
5008903,-21,1
5008904,0,C
5008904,-1,X
5008904,-2,C
5008904,-3,1
5008904,-4,C
5008904,-5,C
5008905,0,1
5008905,-1,1
5008905,-2,C
5008905,-3,C
5008905,-4,X
5008905,-5,0
5008905,-6,C
5008905,-7,C
5008905,-8,1
5008905,-9,C
5008905,-10,C
5008905,-11,0
5008906,0,X
5008906,-1,X
5008906,-2,X
5008906,-3,X
5008906,-4,1
5008906,-5,3
5008906,-6,0
5008906,-7,0
5008906,-8,5
5008906,-9,X
5008906,-10,C
5008907,0,1
5008907,-1,X
5008907,-2,C
5008907,-3,C
5008907,-4,1
5008907,-5,1
5008907,-6,0
5008907,-7,0
5008908,0,C
5008908,-1,1
5008908,-2,X
5008908,-3,C
5008908,-4,C
5008908,-5,C
5008908,-6,C
5008908,-7,C
5008908,-8,X
5008908,-9,C
5008908,-10,X
5008908,-11,X
5008908,-12,X
5008908,-13,C
5008908,-14,X
5008908,-15,0
5008908,-16,C
5008908,-17,C
5008908,-18,C
5008908,-19,C
5008908,-20,X
5008909,0,0
5008909,-1,C
5008909,-2,C
5008909,-3,C
5008909,-4,C
5008909,-5,C
5008909,-6,1
5008909,-7,X
5008909,-8,C
5008909,-9,X
5008909,-10,X
5008909,-11,X
5008909,-12,X
5008909,-13,C
5008909,-14,X
5008909,-15,C
5008910,0,C
5008910,-1,X
5008910,-2,X
5008910,-3,C
5008910,-4,X
5008910,-5,C
5008910,-6,X
5008910,-7,C
5008910,-8,X
5008910,-9,X
5008910,-10,C
