ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008814,M,N,Y,2,121832.1,Commercial associate,Higher education,Married,House / apartment,-16854,-4913,1,0,1,1,Drivers,4.0
5008815,M,N,Y,0,95009.5,Commercial associate,Secondary / secondary special,Married,Office apartment,-9728,-10691,1,0,0,0,Cleaning staff,2.0
5008816,M,N,N,0,54026.8,Working,Higher education,Civil marriage,House / apartment,-14854,-6541,1,0,0,0,Medicine staff,1.0
5008817,F,N,N,1,244919.3,Commercial associate,Higher education,Married,House / apartment,-25132,-5161,1,0,0,0,High skill tech staff,2.0
5008818,M,N,N,0,72150.4,Commercial associate,Secondary / secondary special,Married,Rented apartment,-24305,-7896,1,1,1,0,IT staff,1.0
5008819,M,N,N,0,156967.8,Working,Incomplete higher,Married,Municipal apartment,-20476,-3848,1,0,0,1,nan,2.0
5008820,F,N,Y,0,150381.1,Commercial associate,Secondary / secondary special,Married,House / apartment,-9955,-499,1,0,1,0,Cooking staff,2.0
5008821,M,N,N,0,52589.3,Working,Secondary / secondary special,Widow,House / apartment,-16739,-11087,1,1,0,0,Low-skill Laborers,1.0
5008822,M,N,Y,2,59802.7,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-22089,-660,1,0,0,0,Realty agents,4.0
5008823,M,N,Y,1,84901.4,Commercial associate,Incomplete higher,Married,Municipal apartment,-23668,-4900,1,0,0,0,Waiters/barmen staff,3.0
5008824,F,Y,N,0,64034.5,Commercial associate,Secondary / secondary special,Married,Rented apartment,-21953,-5875,1,1,0,0,Medicine staff,2.0
5008825,F,N,Y,0,234035.5,Working,Secondary / secondary special,Widow,House / apartment,-15233,-7352,1,1,1,0,Waiters/barmen staff,2.0
5008826,M,N,N,3,89313.9,Working,Secondary / secondary special,Married,House / apartment,-15188,-13931,1,0,0,0,nan,5.0
5008827,F,Y,N,0,154025.7,Working,Secondary / secondary special,Married,House / apartment,-24577,-12054,1,1,0,0,Core staff,2.0
5008828,F,N,Y,0,127620.8,Commercial associate,Secondary / secondary special,Married,House / apartment,-8593,-4394,1,0,0,0,Core staff,2.0
5008829,M,N,N,3,112646.7,Working,Higher education,Married,House / apartment,-8900,-13233,1,0,0,0,nan,4.0
5008830,F,Y,Y,3,100726.1,Working,Secondary / secondary special,Married,Municipal apartment,-13492,-13669,1,0,0,0,Low-skill Laborers,5.0
5008831,M,N,Y,0,183242.4,State servant,Higher education,Married,House / apartment,-13095,-2443,1,1,0,0,Laborers,2.0
5008832,M,Y,N,0,65346.1,Working,Secondary / secondary special,Married,House / apartment,-13977,-215,1,0,0,0,HR staff,1.0
5008833,F,Y,Y,0,234021.4,Working,Secondary / secondary special,Married,House / apartment,-20518,-865,1,0,0,0,Sales staff,1.0
5008834,F,N,N,0,51864.4,Commercial associate,Higher education,Single / not married,With parents,-18286,-4084,1,0,0,1,IT staff,2.0
5008835,F,Y,Y,1,145911.5,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-22056,-3380,1,1,0,1,Cleaning staff,2.0
5008836,M,Y,Y,0,48894.4,Working,Secondary / secondary special,Single / not married,House / apartment,-23485,-9313,1,0,0,0,Accountants,2.0
5008837,M,N,N,0,84300.8,Commercial associate,Lower secondary,Married,House / apartment,-22480,-10143,1,0,0,0,Secretaries,2.0
5008838,F,Y,N,0,103430.5,Working,Secondary / secondary special,Single / not married,House / apartment,-13189,-11275,1,1,0,0,Managers,1.0
5008839,M,N,Y,3,77393.1,Working,Secondary / secondary special,Single / not married,House / apartment,-10711,-3529,1,1,1,0,Private service staff,4.0
5008840,M,N,Y,0,90144.1,Working,Secondary / secondary special,Single / not married,House / apartment,-23999,-12403,1,0,1,1,Cleaning staff,2.0
5008841,F,Y,N,0,49341.2,Working,Secondary / secondary special,Married,House / apartment,-9527,-8720,1,0,0,1,High skill tech staff,2.0
5008842,M,Y,Y,4,60251.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12737,-5839,1,0,1,1,Waiters/barmen staff,5.0
5008843,F,N,N,0,126643.6,Working,Higher education,Single / not married,House / apartment,-23442,-12120,1,1,1,0,Medicine staff,1.0
5008844,M,N,Y,0,100191.2,Commercial associate,Secondary / secondary special,Married,House / apartment,-7851,-11337,1,0,0,0,nan,1.0
5008845,F,Y,N,0,69894.1,Working,Secondary / secondary special,Married,House / apartment,-22668,-4190,1,0,0,0,Core staff,2.0
5008846,M,N,N,0,191403.5,Working,Higher education,Married,House / apartment,-16969,-9191,1,1,0,0,HR staff,1.0
5008847,F,Y,Y,0,53639.2,Working,Secondary / secondary special,Married,House / apartment,-11540,-3989,1,1,0,0,Security staff,2.0
5008848,F,N,N,0,82388.8,Working,Secondary / secondary special,Married,With parents,-14268,-11711,1,0,0,0,Accountants,1.0
5008849,M,Y,N,0,76662.8,Working,Secondary / secondary special,Separated,House / apartment,-9945,-8636,1,1,1,1,nan,2.0
5008850,F,Y,N,0,134258.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-11568,-12971,1,0,0,0,Drivers,2.0
5008851,F,Y,Y,0,101121.9,Pensioner,Secondary / secondary special,Married,With parents,-10127,365243,1,0,0,0,Cooking staff,1.0
5008852,F,N,N,0,93518.8,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14668,-10577,1,0,0,1,Security staff,2.0
5008853,F,N,N,0,39257.3,Commercial associate,Incomplete higher,Married,With parents,-11271,-3981,1,1,0,0,Accountants,2.0
5008854,F,N,N,0,152134.0,Working,Secondary / secondary special,Married,House / apartment,-12009,-2736,1,1,0,1,Core staff,1.0
5008855,F,Y,N,3,88529.1,Commercial associate,Higher education,Married,House / apartment,-21371,-12683,1,1,0,0,nan,5.0
5008856,M,Y,Y,0,104592.9,Commercial associate,Secondary / secondary special,Married,House / apartment,-18765,-4373,1,0,0,0,nan,2.0
5008857,M,Y,N,0,67895.0,Working,Secondary / secondary special,Married,House / apartment,-13606,-8020,1,0,0,0,Secretaries,2.0
5008858,M,N,Y,1,62760.8,State servant,Secondary / secondary special,Civil marriage,House / apartment,-24754,-2817,1,1,0,0,Accountants,3.0
5008859,M,N,Y,0,208906.9,Working,Secondary / secondary special,Single / not married,House / apartment,-23800,-5435,1,0,0,0,Secretaries,1.0
5008860,M,N,Y,1,40675.5,Working,Secondary / secondary special,Married,House / apartment,-9630,-1531,1,0,1,0,nan,3.0
5008861,M,Y,Y,1,58273.4,Working,Lower secondary,Married,House / apartment,-15630,-3416,1,0,0,0,nan,3.0
5008862,F,N,Y,1,206952.8,Pensioner,Incomplete higher,Married,Rented apartment,-24236,365243,1,1,1,0,Managers,3.0
5008863,M,Y,Y,1,135995.0,State servant,Secondary / secondary special,Widow,House / apartment,-13471,-10355,1,0,0,1,IT staff,3.0
5008864,M,N,Y,0,83890.6,State servant,Secondary / secondary special,Married,Municipal apartment,-7874,-10834,1,0,0,0,HR staff,2.0
5008865,F,Y,N,1,184111.7,Commercial associate,Secondary / secondary special,Married,House / apartment,-25136,-12639,1,0,0,0,nan,3.0
5008866,M,N,Y,0,123430.1,Commercial associate,Higher education,Married,With parents,-20304,-4420,1,1,0,1,Core staff,1.0
5008867,F,Y,Y,0,110894.0,Working,Secondary / secondary special,Married,House / apartment,-15939,-8758,1,0,0,0,HR staff,2.0
5008868,M,N,Y,3,110501.1,Working,Secondary / secondary special,Separated,Municipal apartment,-10706,-842,1,0,1,0,Private service staff,5.0
5008869,F,N,Y,0,124569.5,Pensioner,Secondary / secondary special,Married,With parents,-24140,365243,1,1,1,0,Private service staff,2.0
5008870,F,N,Y,3,127114.8,Working,Secondary / secondary special,Single / not married,Office apartment,-10666,-5669,1,0,0,0,Medicine staff,4.0
5008871,M,N,N,0,295962.1,Working,Secondary / secondary special,Civil marriage,With parents,-21606,-3965,1,1,1,0,HR staff,2.0
5008872,M,N,N,0,89550.1,Working,Lower secondary,Single / not married,House / apartment,-18685,-3721,1,0,1,0,Cooking staff,2.0
5008873,F,N,N,0,90941.9,Working,Secondary / secondary special,Civil marriage,House / apartment,-8880,-4324,1,0,0,0,Medicine staff,2.0
5008874,F,N,N,1,53186.2,Working,Secondary / secondary special,Single / not married,Municipal apartment,-20782,-7640,1,1,1,1,nan,3.0
5008875,F,Y,Y,0,96187.2,Working,Lower secondary,Married,House / apartment,-21112,-4723,1,0,1,0,Security staff,1.0
5008876,F,N,Y,0,250557.4,Working,Secondary / secondary special,Separated,With parents,-17222,-4858,1,0,0,0,HR staff,2.0
5008877,M,N,Y,0,161497.1,Working,Higher education,Separated,House / apartment,-17375,-11672,1,1,0,0,Sales staff,1.0
5008878,M,Y,N,1,75219.5,Working,Secondary / secondary special,Married,House / apartment,-17324,-7199,1,0,0,0,Realty agents,3.0
5008879,M,N,Y,0,100209.7,Pensioner,Secondary / secondary special,Married,House / apartment,-24622,365243,1,0,0,0,Waiters/barmen staff,2.0
5008880,F,Y,N,2,51626.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15613,-14211,1,0,0,0,Cleaning staff,4.0
5008881,F,Y,Y,0,60805.8,Commercial associate,Secondary / secondary special,Married,House / apartment,-20685,-12296,1,1,0,1,Sales staff,2.0
5008882,M,Y,Y,0,106374.4,Commercial associate,Secondary / secondary special,Married,House / apartment,-22013,-7438,1,1,0,0,Sales staff,2.0
5008883,M,Y,N,0,77093.4,Working,Secondary / secondary special,Married,House / apartment,-19260,-2988,1,0,0,0,Waiters/barmen staff,1.0
5008884,M,N,N,3,58553.7,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-24784,365243,1,0,0,1,nan,5.0
5008885,M,N,N,0,126111.3,State servant,Higher education,Married,With parents,-8848,-8211,1,0,0,0,Low-skill Laborers,2.0
5008886,F,N,N,0,94738.4,Working,Secondary / secondary special,Civil marriage,House / apartment,-18624,-12977,1,0,0,0,Security staff,2.0
5008887,F,N,N,1,45081.4,Working,Secondary / secondary special,Single / not married,House / apartment,-13868,-2935,1,0,1,0,Private service staff,3.0
5008888,F,Y,N,0,34976.3,Commercial associate,Secondary / secondary special,Married,House / apartment,-15969,-9384,1,0,1,0,Managers,1.0
5008889,F,N,N,1,74235.2,Working,Higher education,Married,Municipal apartment,-22233,-14580,1,0,1,0,Core staff,3.0
5008890,M,N,Y,0,44616.9,State servant,Secondary / secondary special,Married,House / apartment,-12344,-11790,1,0,0,1,IT staff,1.0
5008891,F,N,N,0,38775.5,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18161,-3601,1,0,0,0,IT staff,1.0
5008892,F,N,N,0,173595.8,Working,Secondary / secondary special,Civil marriage,Rented apartment,-20244,-7265,1,0,1,0,Realty agents,1.0
5008893,F,N,Y,0,94008.9,Working,Higher education,Single / not married,House / apartment,-14609,-14113,1,1,0,0,HR staff,1.0
5008894,F,N,N,1,86446.1,Commercial associate,Incomplete higher,Single / not married,Municipal apartment,-8043,-2381,1,0,1,0,Drivers,3.0
5008895,F,N,N,1,89841.0,Working,Secondary / secondary special,Married,Rented apartment,-8129,-12062,1,1,0,0,Sales staff,2.0
5008896,F,Y,Y,0,55886.8,Pensioner,Higher education,Married,Rented apartment,-20407,365243,1,0,0,0,Managers,2.0
5008897,M,Y,Y,2,121235.2,Working,Secondary / secondary special,Married,House / apartment,-19870,-3956,1,0,1,0,Secretaries,4.0
5008898,M,N,Y,0,92471.0,State servant,Secondary / secondary special,Married,House / apartment,-7334,-13557,1,0,0,0,Cooking staff,2.0
5008899,M,N,N,0,67595.4,Working,Higher education,Married,House / apartment,-11070,-8538,1,0,0,1,Laborers,2.0
5008900,M,N,N,1,72852.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19598,-14520,1,1,1,0,nan,3.0
5008901,F,N,Y,1,53437.6,Working,Secondary / secondary special,Married,House / apartment,-18302,-612,1,1,0,0,Drivers,2.0
5008902,M,Y,Y,0,80569.8,Working,Secondary / secondary special,Married,House / apartment,-7549,-2111,1,0,1,1,Laborers,2.0
5008903,F,Y,Y,1,87569.3,Commercial associate,Higher education,Single / not married,House / apartment,-14857,-7450,1,0,0,0,Cooking staff,3.0
5008904,F,N,N,0,79527.5,Working,Secondary / secondary special,Single / not married,House / apartment,-8165,-12001,1,0,1,0,Drivers,1.0
5008905,M,N,Y,1,101476.0,Working,Secondary / secondary special,Married,House / apartment,-15872,-13855,1,1,1,0,Medicine staff,3.0
5008906,M,Y,Y,2,94915.7,Working,Secondary / secondary special,Widow,House / apartment,-11180,-13236,1,0,0,0,nan,4.0
5008907,F,N,N,1,110789.2,Working,Secondary / secondary special,Married,House / apartment,-11043,-6029,1,0,0,0,Secretaries,3.0
5008908,M,N,Y,0,158189.4,Working,Secondary / secondary special,Single / not married,House / apartment,-12667,-14145,1,1,0,0,Secretaries,2.0
5008909,M,N,Y,1,132788.3,Pensioner,Incomplete higher,Separated,With parents,-23646,365243,1,1,0,0,nan,2.0
5008910,M,N,Y,1,159101.1,Working,Secondary / secondary special,Married,With parents,-22114,-13588,1,0,1,0,Sales staff,3.0
5008911,M,Y,Y,0,64610.5,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-15742,-6643,1,0,0,0,Sales staff,2.0
5008912,F,N,Y,0,76549.5,Working,Incomplete higher,Single / not married,House / apartment,-21998,-9639,1,1,0,1,nan,2.0
5008913,F,N,N,3,136871.6,Pensioner,Secondary / secondary special,Married,House / apartment,-10270,365243,1,1,1,0,Managers,5.0
5008914,F,N,N,0,138100.8,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-14305,365243,1,0,0,1,Realty agents,1.0
5008915,F,Y,N,0,70311.4,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11064,-519,1,1,0,0,Drivers,2.0
5008916,F,N,N,0,134026.4,Pensioner,Incomplete higher,Single / not married,House / apartment,-11955,365243,1,0,1,0,Cleaning staff,1.0
5008917,M,Y,Y,1,61588.7,Pensioner,Secondary / secondary special,Single / not married,With parents,-8790,365243,1,0,1,0,Cooking staff,3.0
5008918,F,Y,Y,3,125558.6,Working,Secondary / secondary special,Married,House / apartment,-13905,-6400,1,0,1,0,Sales staff,5.0
5008919,F,N,Y,1,97426.3,Working,Secondary / secondary special,Married,House / apartment,-14778,-11014,1,1,0,1,Waiters/barmen staff,3.0
5008920,F,Y,N,0,49403.8,Working,Secondary / secondary special,Married,House / apartment,-10527,-2808,1,0,0,0,nan,2.0
5008921,F,N,N,1,79456.3,Working,Secondary / secondary special,Married,With parents,-22556,-4580,1,1,0,1,Sales staff,3.0
5008922,M,Y,Y,1,293940.9,Commercial associate,Higher education,Separated,House / apartment,-10110,-14160,1,0,1,0,Medicine staff,3.0
5008923,M,N,Y,1,109249.6,Commercial associate,Secondary / secondary special,Married,House / apartment,-22977,-8626,1,0,0,0,Laborers,2.0
5008924,M,Y,Y,0,311833.6,Commercial associate,Secondary / secondary special,Married,House / apartment,-7494,-1944,1,0,0,0,Drivers,2.0
5008925,M,Y,Y,1,47955.9,Working,Higher education,Married,Rented apartment,-23077,-13029,1,0,0,0,High skill tech staff,3.0
5008926,F,Y,N,0,143683.9,Pensioner,Secondary / secondary special,Married,House / apartment,-23576,365243,1,0,1,0,IT staff,2.0
5008927,F,N,Y,0,27801.1,Working,Higher education,Married,House / apartment,-18516,-12815,1,1,0,0,Realty agents,2.0
5008928,M,N,N,0,98704.1,Working,Secondary / secondary special,Married,House / apartment,-10703,-1025,1,0,1,0,IT staff,1.0
5008929,F,Y,Y,4,135348.6,Student,Secondary / secondary special,Married,House / apartment,-9052,-12258,1,0,1,0,Core staff,6.0
5008930,M,N,N,0,150083.2,Working,Secondary / secondary special,Civil marriage,House / apartment,-18840,-621,1,1,0,0,Sales staff,2.0
5008931,M,N,N,3,66195.3,Working,Secondary / secondary special,Married,House / apartment,-25109,-12719,1,0,1,0,Accountants,5.0
5008932,M,N,N,0,165967.2,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-15959,-6403,1,0,1,0,Realty agents,2.0
5008933,M,Y,Y,1,75594.8,Pensioner,Secondary / secondary special,Married,House / apartment,-25175,365243,1,0,1,0,Laborers,3.0
5008934,F,N,Y,0,90939.6,Working,Secondary / secondary special,Married,House / apartment,-19190,-4404,1,0,1,0,Managers,2.0
5008935,M,Y,Y,0,79486.2,Commercial associate,Secondary / secondary special,Married,House / apartment,-7426,-4041,1,0,1,1,Cleaning staff,2.0
5008936,F,Y,Y,1,55927.2,State servant,Secondary / secondary special,Widow,House / apartment,-13025,-12241,1,0,0,0,Laborers,3.0
5008937,F,N,N,1,216394.8,Working,Secondary / secondary special,Single / not married,House / apartment,-12678,-9090,1,0,0,0,Sales staff,3.0
5008938,M,N,N,1,101114.5,Working,Secondary / secondary special,Married,House / apartment,-20107,-13456,1,0,1,0,Accountants,2.0
5008939,F,Y,Y,1,170017.9,Commercial associate,Secondary / secondary special,Married,House / apartment,-11651,-778,1,0,0,1,High skill tech staff,3.0
5008940,F,Y,Y,1,166434.3,Working,Secondary / secondary special,Married,House / apartment,-15448,-13875,1,0,1,0,Medicine staff,2.0
5008941,M,N,Y,2,60841.7,Working,Secondary / secondary special,Single / not married,Rented apartment,-16307,-1194,1,0,0,0,HR staff,4.0
5008942,F,N,N,0,181328.1,Pensioner,Secondary / secondary special,Widow,House / apartment,-19994,365243,1,0,0,0,Drivers,2.0
5008943,M,Y,N,0,126970.1,Commercial associate,Secondary / secondary special,Married,House / apartment,-15097,-11099,1,0,0,0,Secretaries,1.0
5008944,M,N,Y,0,58662.1,Working,Secondary / secondary special,Married,House / apartment,-8836,-5889,1,0,0,1,nan,2.0
5008945,M,Y,Y,0,123553.0,Working,Higher education,Married,House / apartment,-23685,-5480,1,0,1,1,Accountants,1.0
5008946,F,Y,N,1,59190.5,Commercial associate,Higher education,Civil marriage,With parents,-18301,-12387,1,1,0,1,Core staff,3.0
5008947,F,N,N,0,220406.6,Working,Secondary / secondary special,Married,House / apartment,-10465,-3547,1,1,0,0,Secretaries,2.0
5008948,M,Y,Y,0,148285.3,Commercial associate,Secondary / secondary special,Married,House / apartment,-10543,-12390,1,0,0,0,Realty agents,2.0
5008949,M,Y,N,0,95265.8,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-17333,-13745,1,0,0,1,Cleaning staff,1.0
5008950,F,N,N,1,185795.5,Working,Secondary / secondary special,Married,House / apartment,-20769,-6618,1,0,0,0,Security staff,2.0
5008951,M,N,N,0,44757.1,State servant,Incomplete higher,Single / not married,House / apartment,-19753,-14107,1,0,0,0,Realty agents,2.0
5008952,M,Y,N,0,67868.6,State servant,Secondary / secondary special,Married,House / apartment,-8961,-14517,1,0,0,0,Cooking staff,1.0
5008953,F,N,Y,1,87011.0,Working,Higher education,Married,House / apartment,-15162,-489,1,1,1,0,Laborers,3.0
5008954,F,N,N,1,301897.4,Working,Lower secondary,Civil marriage,House / apartment,-16390,-9159,1,0,0,0,nan,3.0
5008955,M,Y,Y,0,57800.8,Working,Secondary / secondary special,Married,House / apartment,-21020,-6464,1,0,0,0,High skill tech staff,2.0
5008956,F,N,Y,1,42038.7,Working,Secondary / secondary special,Married,House / apartment,-18753,-6852,1,0,1,0,Low-skill Laborers,2.0
5008957,F,Y,Y,0,47944.9,Working,Secondary / secondary special,Widow,House / apartment,-17674,-12918,1,0,0,0,Private service staff,2.0
5008958,M,N,Y,3,155299.1,Working,Secondary / secondary special,Single / not married,House / apartment,-11220,-4344,1,0,1,1,Cleaning staff,5.0
5008959,F,N,Y,0,73343.1,Working,Secondary / secondary special,Married,House / apartment,-12574,-14023,1,0,0,0,High skill tech staff,1.0
5008960,M,N,Y,4,91167.8,Working,Academic degree,Married,House / apartment,-14697,-12126,1,1,0,0,Realty agents,6.0
5008961,F,Y,N,3,144555.1,Working,Lower secondary,Widow,House / apartment,-17562,-809,1,1,0,0,High skill tech staff,5.0
5008962,F,N,N,1,91213.5,Working,Higher education,Married,House / apartment,-10531,-286,1,0,0,0,nan,3.0
5008963,F,N,Y,0,109324.2,Working,Higher education,Single / not married,Municipal apartment,-20814,-1258,1,0,1,0,Private service staff,2.0
5008964,M,Y,Y,0,129005.1,Working,Secondary / secondary special,Married,Co-op apartment,-10021,-14020,1,1,0,0,HR staff,1.0
5008965,F,Y,N,0,79591.4,State servant,Secondary / secondary special,Married,Rented apartment,-24818,-4111,1,1,0,0,Realty agents,2.0
5008966,M,Y,Y,2,90838.8,Working,Secondary / secondary special,Separated,House / apartment,-9098,-6469,1,1,0,1,nan,3.0
5008967,M,N,N,1,111410.6,State servant,Secondary / secondary special,Married,House / apartment,-15757,-675,1,0,0,0,Private service staff,3.0
5008968,M,N,Y,3,152373.4,Working,Secondary / secondary special,Married,House / apartment,-15964,-10426,1,0,0,0,Core staff,4.0
5008969,F,Y,N,1,66424.1,Commercial associate,Secondary / secondary special,Married,House / apartment,-20229,-4556,1,0,0,0,Core staff,3.0
5008970,F,N,Y,0,27000.0,Working,Secondary / secondary special,Married,House / apartment,-8404,-5839,1,1,0,0,Medicine staff,2.0
5008971,M,N,N,0,138661.6,Pensioner,Secondary / secondary special,Married,House / apartment,-12576,365243,1,0,0,0,Medicine staff,2.0
5008972,F,N,N,0,156977.5,Working,Secondary / secondary special,Married,House / apartment,-13653,-13876,1,1,0,0,Drivers,2.0
5008973,M,Y,N,0,109099.7,State servant,Secondary / secondary special,Married,House / apartment,-23654,-3081,1,0,1,0,nan,1.0
5008974,F,N,N,1,112887.5,Working,Secondary / secondary special,Married,Municipal apartment,-7483,-7461,1,0,0,0,Cleaning staff,3.0
5008975,M,Y,Y,3,74447.2,Working,Secondary / secondary special,Married,House / apartment,-9945,-642,1,0,0,0,nan,5.0
5008976,F,Y,N,1,126765.2,Working,Higher education,Separated,House / apartment,-19484,-6687,1,0,0,0,Core staff,3.0
5008977,M,N,Y,2,151234.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23127,-6927,1,0,0,0,Medicine staff,4.0
5008978,F,Y,N,2,101544.1,State servant,Higher education,Married,House / apartment,-15644,-4385,1,0,0,0,Medicine staff,4.0
5008979,M,Y,Y,0,343047.5,Working,Secondary / secondary special,Married,With parents,-8594,-1714,1,0,0,0,Laborers,2.0
5008980,M,Y,N,0,45167.3,Commercial associate,Secondary / secondary special,Married,House / apartment,-8936,-6994,1,1,0,0,Secretaries,1.0
5008981,M,Y,N,1,107096.0,Commercial associate,Higher education,Married,House / apartment,-13522,-9783,1,0,0,1,Managers,3.0
5008982,F,Y,Y,0,54875.6,Commercial associate,Higher education,Married,House / apartment,-16699,-7099,1,1,0,1,Medicine staff,1.0
5008983,F,N,Y,0,153264.9,Commercial associate,Secondary / secondary special,Married,House / apartment,-14037,-6846,1,0,1,1,nan,1.0
5008984,M,Y,Y,0,44768.6,Working,Secondary / secondary special,Married,House / apartment,-8872,-2025,1,0,1,1,nan,2.0
5008985,F,Y,N,4,50667.5,Working,Higher education,Separated,House / apartment,-13059,-2595,1,0,0,0,High skill tech staff,6.0
5008986,F,Y,Y,0,71927.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9478,365243,1,1,0,0,Accountants,2.0
5008987,F,N,N,1,112748.6,Working,Higher education,Single / not married,House / apartment,-16820,-625,1,0,1,0,Private service staff,3.0
5008988,F,N,N,2,73296.2,Pensioner,Higher education,Married,With parents,-16185,365243,1,0,0,0,Accountants,4.0
5008989,M,Y,N,1,73664.7,Pensioner,Secondary / secondary special,Married,House / apartment,-17649,365243,1,0,0,0,Realty agents,2.0
5008990,M,N,N,1,90179.3,Pensioner,Academic degree,Married,With parents,-7404,365243,1,0,0,0,Low-skill Laborers,3.0
5008991,F,Y,Y,1,87455.0,Working,Secondary / secondary special,Married,House / apartment,-10398,-315,1,0,1,0,Cleaning staff,3.0
5008992,F,Y,N,0,207674.0,Working,Higher education,Married,With parents,-9735,-136,1,0,0,0,nan,1.0
5008993,F,Y,N,0,139101.0,Working,Higher education,Single / not married,House / apartment,-9476,-13062,1,0,1,0,Drivers,2.0
5008994,M,Y,N,3,83927.8,State servant,Secondary / secondary special,Married,House / apartment,-22407,-3109,1,0,0,1,nan,4.0
5008995,M,Y,Y,0,281674.1,Working,Secondary / secondary special,Married,House / apartment,-12955,-14254,1,0,1,0,Realty agents,1.0
5008996,F,N,N,1,126226.2,Working,Higher education,Single / not married,Municipal apartment,-8433,-1416,1,0,1,0,Drivers,2.0
5008997,F,Y,Y,0,60810.6,Working,Secondary / secondary special,Married,House / apartment,-19097,-9917,1,1,1,1,Managers,2.0
5008998,F,N,N,0,112224.5,Working,Secondary / secondary special,Married,Municipal apartment,-18714,-9549,1,0,0,1,Low-skill Laborers,2.0
5008999,F,Y,N,3,129024.3,Working,Higher education,Married,House / apartment,-14289,-11814,1,0,0,0,Core staff,5.0
5009000,F,Y,N,1,69995.6,Working,Secondary / secondary special,Married,House / apartment,-9918,-11337,1,0,0,1,Cleaning staff,2.0
5009001,M,N,N,0,58322.6,Working,Secondary / secondary special,Civil marriage,House / apartment,-18653,-3041,1,0,0,0,Medicine staff,2.0
5009002,M,N,Y,4,103076.8,State servant,Secondary / secondary special,Married,With parents,-21853,-9504,1,0,0,0,nan,6.0
